"","SRR8581315","SRR8581316","SRR8581317","SRR8581318","SRR8581319","SRR8581320"
"ENSMUSG00000104149",6.75735559209288,6.97815301783671,6.87974466413186,6.96964539210107,6.64374905012739,6.94101746032434
"ENSMUSG00000026519",8.73736670402861,8.70754030811612,8.49503968180385,8.95373330412436,8.96121425052171,8.64895033315294
"ENSMUSG00000038776",13.9605595141542,13.9476721836171,13.8563451321949,13.7228998391293,13.8750197030749,13.7377859722628
"ENSMUSG00000050777",10.3493234848834,10.8696733714875,10.4981852771232,10.0299218817533,10.3545916584211,10.1916384036287
"ENSMUSG00000038768",9.96386743054132,9.62528348969788,9.79764102249759,9.50683515845046,9.6672745571204,9.52176035087129
"ENSMUSG00000026516",9.45996093221395,9.14530789708912,9.54971184156835,9.66737709027424,9.30116695197405,9.34598511294875
"ENSMUSG00000062169",8.45761721959191,8.47819046587912,8.29137935213087,8.29223140102856,7.92472805259858,8.30645110797794
"ENSMUSG00000026103",7.97395051661842,8.23704752638855,8.25792289029939,8.12134642138712,8.17312157921876,8.71697098734911
"ENSMUSG00000002881",10.278918338518,9.86757992927155,10.1455063621701,10.7254273841956,10.4054303368677,10.567359155115
"ENSMUSG00000043015",6.45091133521456,6.58095084350266,6.95945343414846,6.72051609407589,6.83258973457898,6.87542785284209
"ENSMUSG00000038733",11.507635181281,11.1760912332953,11.5339188613675,11.5502646956506,11.4272655082063,11.5230552685339
"ENSMUSG00000003721",13.123545022563,12.7777806031913,13.413788876467,11.3997065587608,11.4455914642282,11.9058127907729
"ENSMUSG00000104253",5.79143980833072,5.99198429844353,6.57377035415707,6.36358459926878,7.01958154908705,6.2734841898636
"ENSMUSG00000054135",6.17789834376132,6.95069427412027,6.76909734992949,6.673540797449,6.52796799045238,6.68645877780756
"ENSMUSG00000081214",5.50752879489982,5.8442503676718,5.4227127121411,5.00918720652806,5.71320247919518,5.80834621659003
"ENSMUSG00000041439",7.89236610098354,7.89209028464557,8.02362807176361,8.02742565087918,7.54651382691609,7.80734397629844
"ENSMUSG00000026102",8.52044972883382,8.55310764651573,8.65083297763742,8.87425348591443,8.8489186860412,9.13263300684604
"ENSMUSG00000041426",11.7706125281105,11.4956196597275,11.4567016566395,11.7734500476787,11.7054885065932,11.6774975849207
"ENSMUSG00000026339",8.86657707329155,8.58704135843952,8.9057312536527,9.08978629192326,9.01695631210086,9.07121127159235
"ENSMUSG00000043629",5.79143980833072,5.92149947949751,5.59203284013716,5.72713226145993,5.9338708898702,5.63132604504604
"ENSMUSG00000001674",8.98229025565179,8.66453184570266,8.70125780460254,8.8132429980713,8.77639875001015,8.73088668479727
"ENSMUSG00000036707",10.9724084270312,10.6580762261554,10.7979558440608,10.8977450340251,10.7839846700425,11.0231824028848
"ENSMUSG00000026223",9.37165793768216,9.20637491372988,9.53594555490688,9.29828902571576,9.26023419347096,9.34823617133156
"ENSMUSG00000025939",9.57291395054386,9.43684511514199,9.44309897362329,9.29125771486655,9.29892328264082,9.32784843502006
"ENSMUSG00000026094",7.17547433431819,7.03134841236743,7.32238642197952,7.30942026896796,7.22281756521059,7.20556553390493
"ENSMUSG00000026341",11.3034456382646,10.8934350339339,10.9771050839249,11.2119047379285,10.9734508141017,11.1418679258725
"ENSMUSG00000079658",9.92114783789456,10.0793510586168,9.7611474096893,9.5269145004532,9.46417987504779,9.53367094918253
"ENSMUSG00000026342",10.8442315810385,10.3535744504158,10.5640118051372,10.5698552232634,10.3383295744426,10.756834248081
"ENSMUSG00000025940",10.5809085912707,10.4654051676314,10.4449261222733,10.1329757614233,9.97996034896693,10.0702785163849
"ENSMUSG00000026343",7.01285292836632,6.63616770290227,7.10523656205005,7.24005829680881,7.16200599899233,7.39879957475054
"ENSMUSG00000025779",6.90431415852928,7.46040524760287,7.0028328775366,6.68940645917293,6.71993646764172,7.03933697974799
"ENSMUSG00000042686",6.15348826970791,6.68889278767388,6.41065878231315,6.86507294625656,7.00794274971134,6.68645877780756
"ENSMUSG00000101589",5.71053111449545,5.95748861283739,5.86055178298552,5.98381033007062,5.66853356845421,5.95013414901043
"ENSMUSG00000042807",7.29237836992543,6.7557391550001,6.83179466488354,7.15603722598174,6.79155914279682,6.83434562573919
"ENSMUSG00000041303",8.96270443223078,8.66453184570266,8.76484424020389,8.93878788667756,8.71019645714758,8.97821242607024
"ENSMUSG00000049690",5.86407536369426,5.88383007181158,6.00565863489013,5.37092697012649,5.75500649123497,5.76827959794438
"ENSMUSG00000073678",8.89048097962311,8.27411804968411,8.77957510843577,9.35333289016128,9.06268813377014,9.14564419743919
"ENSMUSG00000036155",7.79285868854836,7.52466965261021,7.75419290767466,7.70044825789988,7.48283262227023,7.68908863708591
"ENSMUSG00000099471",6.07621802374473,5.92149947949751,5.54184519877518,5.68161146098814,5.50944526078948,5.84631595942867
"ENSMUSG00000026348",8.02398604050386,7.56006937641135,7.32238642197952,7.72907578875068,7.47465773442335,7.59125418176388
"ENSMUSG00000026510",9.50891035700615,9.49134359268255,9.8486173386661,9.62144177927253,9.6445060081757,9.58417261303371
"ENSMUSG00000043760",8.04566213060239,7.7475344884469,8.18853094315087,8.35246401203848,8.34088903170038,8.06244626262844
"ENSMUSG00000026349",10.8899581457967,10.7705056815864,11.1528499569516,11.1957184823847,11.1508511384521,11.0606468761918
"ENSMUSG00000052331",7.8184130940119,7.44146826064652,7.74811042971661,7.66380470028846,7.60734491370147,7.80734397629844
"ENSMUSG00000026234",12.5614636022549,12.612542429321,12.4462005368946,12.7751571587409,12.8059460396886,12.7746010333032
